Id2,Geography,"Population Estimate - April 1, 2010 Estimates Base","Population Estimate - July 1, 2017"
1,Alabama,4780135,4874747
2,Alaska,710249,739795
4,Arizona,6392309,7016270
5,Arkansas,2916031,3004279
6,California,37254518,39536653
8,Colorado,5029325,5607154
9,Connecticut,3574114,3588184
10,Delaware,897936,961939
11,District of Columbia,601766,693972
12,Florida,18804594,20984400
13,Georgia,9688690,10429379
15,Hawaii,1360301,1427538
16,Idaho,1567650,1716943
17,Illinois,12831565,12802023
18,Indiana,6484125,6666818
19,Iowa,3046869,3145711
20,Kansas,2853130,2913123
21,Kentucky,4339340,4454189
22,Louisiana,4533478,4684333
23,Maine,1328362,1335907
24,Maryland,5773807,6052177
25,Massachusetts,6547808,6859819
26,Michigan,9884129,9962311
27,Minnesota,5303924,5576606
28,Mississippi,2968103,2984100
29,Missouri,5988925,6113532
30,Montana,989414,1050493
31,Nebraska,1826327,1920076
32,Nevada,2700691,2998039
33,New Hampshire,1316460,1342795
34,New Jersey,8791953,9005644
35,New Mexico,2059207,2088070
36,New York,19378110,19849399
37,North Carolina,9535721,10273419
38,North Dakota,672585,755393
39,Ohio,11536730,11658609
40,Oklahoma,3751598,3930864
41,Oregon,3831072,4142776
42,Pennsylvania,12702857,12805537
44,Rhode Island,1052945,1059639
45,South Carolina,4625381,5024369
46,South Dakota,814197,869666
47,Tennessee,6346295,6715984
48,Texas,25146100,28304596
49,Utah,2763889,3101833
50,Vermont,625741,623657
51,Virginia,8001043,8470020
53,Washington,6724545,7405743
54,West Virginia,1853006,1815857
55,Wisconsin,5687288,5795483
56,Wyoming,563767,579315
72,Puerto Rico,3726157,3337177
